page_id,page_type,category,display_name,slug,url,content_key,reason,candidate_excel_slug
category:경북|포항시 남구|대이동:중등수학과외,subject_grade,중등수학과외,대이동,대이동,/대이동중등수학과외/,대이동중등수학과외,excel_slug_missing,
category:경북|포항시 남구|대이동:고등수학과외,subject_grade,고등수학과외,대이동,대이동,/대이동고등수학과외/,대이동고등수학과외,excel_slug_missing,
category:경북|포항시 남구|대이동:초등영어과외,subject_grade,초등영어과외,대이동,대이동,/대이동초등영어과외/,대이동초등영어과외,excel_slug_missing,
category:경북|포항시 남구|대이동:중등영어과외,subject_grade,중등영어과외,대이동,대이동,/대이동중등영어과외/,대이동중등영어과외,excel_slug_missing,
category:경북|포항시 남구|대이동:고등영어과외,subject_grade,고등영어과외,대이동,대이동,/대이동고등영어과외/,대이동고등영어과외,excel_slug_missing,
region:경남,city,과외,경남,경남,/경남과외/,경남과외,hub_page_no_content,
category:경남:수학과외,subject,수학과외,경남,경남,/경남수학과외/,경남수학과외,excel_slug_missing,
category:경남:영어과외,subject,영어과외,경남,경남,/경남영어과외/,경남영어과외,excel_slug_missing,
category:경남:초등과외,grade,초등과외,경남,경남,/경남초등과외/,경남초등과외,excel_slug_missing,
category:경남:중등과외,grade,중등과외,경남,경남,/경남중등과외/,경남중등과외,excel_slug_missing,
category:경남:고등과외,grade,고등과외,경남,경남,/경남고등과외/,경남고등과외,excel_slug_missing,
category:경남:초등수학과외,subject_grade,초등수학과외,경남,경남,/경남초등수학과외/,경남초등수학과외,excel_slug_missing,
category:경남:중등수학과외,subject_grade,중등수학과외,경남,경남,/경남중등수학과외/,경남중등수학과외,excel_slug_missing,
category:경남:고등수학과외,subject_grade,고등수학과외,경남,경남,/경남고등수학과외/,경남고등수학과외,excel_slug_missing,
